,name,id,office,region,income,income_family,bank_deps,bank_deps_family,position,flat_area,flat_area_family,house_area,house_area_family,income_salary,income_salary_family,cars_info,cars_family_info,family_cars_sum,personal_cars_sum,all_cars_sum,all_income,family_cars_sum_uah,personal_cars_sum_uah,all_cars_sum_uah,all_cars_sum_uah_mln,monthly_salary,monthly_salary_family,all_salary,all_deps,all_estate
827,Вербицька Лариса Іванівна,vulyk_43_152,Загальний апеляційний суд,Херсонська область,237427.0,1063039.1,0.0,0.0,суддя апеляційного суду херсонської області,0.0,0.0,201.0,461.0,237427.0,0.0,;;,Range Rover;Porsche Panamera;Volkswagen Touareg,202671.0,0.0,202671.0,1300466.1,2432.0,0.0,2432052.0,2.43,19786.0,0.0,19786.0,0.0,662.0
5467,Тичкова Олена Юріївна,vulyk_39_125,Загальний апеляційний суд,Харківська область,279309.0,1282907.0,0.0,48426.0,"суддя, заступник голови апеляційного суду харківської області",203.0,203.0,0.0,0.0,262392.0,0.0,Mercedes-Benz E 3504 Matic;Mercedes-Benz ML 250;;;;;;;;;;,Mercedes-Benz E 3504 Matic;Mercedes-Benz ML 250;Toyota Land Cruiser;;,94766.0,83333.0,178099.0,1562216.0,1137.0,83.0,2137188.0,2.14,21866.0,0.0,21866.0,48426.0,406.0
3833,Ніколенко Михайло Олександрович,vulyk_41_25,Господарський місцевий суд,Дніпропетровська область,181297.0,321212.0,0.0,17525.0,суддя господарського суду дніпропетровської області,125.0,0.0,0.0,0.0,181213.0,18000.0,Mercedes-Benz ML 250;Lexus RX 350;Nissan Sunny;Mitsubishi L 200,Mercedes-Benz ML 250;;;;,56080.0,99664.0,155744.0,502509.0,673.0,100.0,1868928.0,1.87,15101.0,1500.0,16601.0,17525.0,125.0
4373,Попович Ірина Миколаївна,vulyk_59_81,Господарський місцевий суд,Харківська область,174813.0,265962.0,0.0,0.0,суддя господарського суду харківської області,0.0,146.0,0.0,623.0,130308.0,180970.0,Lexus LX - 570;;,Mitsubishi L 200;Hyundai H1;;,39854.0,98761.0,138615.0,440775.0,478.0,99.0,1663380.0,1.66,10859.0,15081.0,25940.0,0.0,769.0
3259,Макаренко Оксана Вікторівна,vulyk_59_76,Господарський місцевий суд,Харківська область,189284.0,1010618.0,0.0,0.0,суддя господарського суду харківської області,0.0,0.0,0.0,325.0,189284.0,46618.0,;;,Land Rover Range Rover Evoque;Land Rover Range Rover Sport;Mitsubishi Lancer;Peugeot 107,138187.0,0.0,138187.0,1199902.0,1658.0,0.0,1658244.0,1.66,15774.0,3885.0,19659.0,0.0,325.0
2052,Казарцева Валерія Вадимівна,vulyk_59_69,Господарський місцевий суд,Харківська область,180432.0,0.0,0.0,0.0,суддя господарського суду харківської області,164.0,0.0,0.0,0.0,180432.0,0.0,Porsche Cayenne;Porsche Panamera;,;;;,0.0,128483.0,128483.0,180432.0,0.0,128.0,1541796.0,1.54,15036.0,0.0,15036.0,0.0,164.0
5557,Трояновська Тетяна Михайлівна,vulyk_57_37,Загальний місцевий суд,Харківська область,60416.0,103694.0,0.0,0.0,суддя нововодолазького районного суду харківської області,0.0,0.0,0.0,95.0,360.0,53249.0,Audi Q7;;;,Mercedes-Benz G 55 AMG;Volkswagen Transporter;;,95229.0,33009.0,128238.0,164110.0,1143.0,33.0,1538856.0,1.54,30.0,4437.0,4467.0,0.0,95.0
2046,Кавлак Інесса Павлівна,vulyk_42_96,Господарський місцевий суд,Івано-Франківська область,180859.0,1814476.0,0.0,0.0,суддя господарського суду івано-франківської області,0.0,126.0,0.0,292.0,180859.0,7500.0,;;;,Audi Q5;Mercedes-Benz GL;,119542.0,0.0,119542.0,1995335.0,1435.0,0.0,1434504.0,1.43,15072.0,625.0,15697.0,0.0,418.0
3644,Муратова Світлана Олександрівна,vulyk_52_26,Загальний місцевий суд,Харківська область,209352.0,761633.0,0.0,0.0,"суддя, заступник голови київського районного суду м. харкова",0.0,76.0,0.0,293.0,209352.0,135060.0,Chrysler PT Cruiser;,Chrysler PT Cruiser;Toyota Sequoia;Mercedes-Benz E 260;BMW X6 XDrive 35i,109377.0,8349.0,117726.0,970985.0,1313.0,8.0,1412712.0,1.41,17446.0,11255.0,28701.0,0.0,369.0
3954,Оніщук Максим Іванович,vulyk_51_25,Загальний апеляційний суд,м. Київ,218325.44,2849326.47,0.0,0.0,суддя апеляційного суду м. києва,108.0,108.0,101.0,0.0,218325.44,0.0,Toyota FJ Cruiser;;;,Skoda Fabia Elegans;Mercedes-Benz ML 350;;;,54959.0,47499.0,102458.0,3067651.91,660.0,47.0,1229496.0,1.23,18194.0,0.0,18194.0,0.0,317.0
3220,Літвінов Євген Володимирович,vulyk_8_180,Вищий спецiалiзований суд України з розгляду цивiльних i кримiнальних справ,Загальнодержавний регіон,286784.67,31667.27,0.0,0.0,суддя вищого спеціалізованого суду україни з розгляду цивільних і кримінальних справ,0.0,44.0,0.0,0.0,285550.83,31667.27,Volkswagen Touareg;;,Lexus RX-270;;,53397.0,44497.0,97894.0,318451.94,641.0,44.0,1174728.0,1.17,23796.0,2639.0,26435.0,0.0,44.0
612,Бровченко Ігор Олександрович,vulyk_55_26,Загальний апеляційний суд,Харківська область,279706.0,30716.0,0.0,0.0,суддя апеляційного суду харківської області,213.0,53.0,0.0,0.0,279706.0,30716.0,;,Mercedes-Benz CL-350;;,96587.0,0.0,96587.0,310422.0,1159.0,0.0,1159044.0,1.16,23309.0,2560.0,25869.0,0.0,266.0
2016,Зубар Валентин Васильович,vulyk_8_172,Вищий спецiалiзований суд України з розгляду цивiльних i кримiнальних справ,Загальнодержавний регіон,350763.0,145710.0,0.0,0.0,суддя вищого спеціалізованого суду україни з розгляду цивільних і кримінальних справ,84.0,0.0,200.0,0.0,302731.0,0.0,SsangYong RX 270 XO;Mercedes-Benz ML 350;,Subaru Impreza;;,10871.0,85478.0,96349.0,496473.0,130.0,85.0,1156188.0,1.16,25228.0,0.0,25228.0,0.0,284.0
5567,Тупицький Олександр Миколайович,vulyk_57_169,Конституційний Cуд,Загальнодержавний регіон,1277071.0,10935.0,0.0,0.0,суддя конституційного суду україни,0.0,34.0,222.0,0.0,301935.0,10825.0,;;;,Infiniti GX 35;BMW X6;;,90595.0,0.0,90595.0,1288006.0,1087.0,0.0,1087140.0,1.09,25161.0,902.0,26063.0,0.0,256.0
