number,id,name,position,office,region,year,income,income_family,income_salary,income_salary_family,income_teaching,income_teaching_family,income_royalties,income_royalties_family,income_dividents,income_dividents_family,income_help,income_help_family,income_gifts,income_gifts_family,bank_deps,bank_deps_family,flat_area,flat_area_family,house_area,house_area_family,land_area,land_area_family,cars,cars_family,cars_cargo,cars_cargo_family,cars_info,cars_family_info,cars_info_year,cars_family_info_year
1,1786,Хамраєв Альберт Юрійович,Начальник Василівського районного управління юстиції ,Міністерство юстиції,Запорізька область,2013,37231,26601,33140,23531,0,0,0,0,0,0,4067,3070,24,0,0,0,0,0,63,0,600,0,1,0,1,0,"Daewoo,Sens;;",;;,2006;;,;;
2,1798,Зеленюк Людмила Володимирівна,Провідний спеціаліст реєстраційної служби Бершадського районного управління юстиції ,Міністерство юстиції,Вінницька область,2013,29185,1232239,29185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.44,0,0,2,0,0,;;,"Mercedes-Benz,E200;Volkswagen,Passat B7;",;;,2008;2012;
3,1801,Матросов Олександр Олексійович,Помічник міністра,Міністерство юстиції,Загальнодержавний регіон,2013,1222540.22,0,12067.22,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,1,0,0,0,"ВАЗ,21011;;",;;,1976;;,;;
4,1813,Дубровська-Олійник Марія Володимирівна,"Спеціаліст І категорії відділу зовнішньоекономічного законодавства Управління фінансового законодавства Департаменту цивільного, фінансового законодавства та законодавства з питань земельних відносин",Міністерство юстиції,Загальнодержавний регіон,2013,10730.04,158833.46,0,158833.46,0,0,0,0,0,0,0,0,0,0,0,0,77,77,0,0,0,0,0,0,0,0,;;,;;,;;,;;
5,1825,Шевченко Анна Василівна,Суддя,Адміністративний місцевий суд,м. Київ,2013,179848,4431593,167261,0,0,0,437,0,0,1671182,11470,0,30,0,0,18746854,63,346.66,284.6,0,3400,10324,1,3,0,0,"Mazda,6;;","Mazda,6;Lexus;Mercedes-Benz,ML350",2006;;,2003;2008;2013
6,1849,Шмигельський Віталій Ярославович,Начальник Гусятинського районного управління юстиції,Міністерство юстиції,Тернопільська область,2013,42337,45035,41523,43869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410.3,0,8200,16500,1,1,0,0,"ВАЗ,21114;;","ВАЗ,2106;;",2006;;,1983;;
7,1863,Пилипенко Валентина Миколаївна,Помічник міністра,Міністерство юстиції,Загальнодержавний регіон,2013,24622.73,3750,24622.73,3750,0,0,0,0,0,0,0,0,0,0,0,0,59.2,0,0,0,0,0,0,0,0,0,;;,;;,;;,;;
8,1868,Донець Володимир Адольфович,Суддя,Адміністративний місцевий суд,м. Київ,2013,191342,0,191325,0,0,0,0,0,17,0,0,0,0,0,0,0,14.3,0,0,0,0,0,1,0,0,0,Suzuki;;,;;,2008;;,;;
9,1870,Стельмах Ольга Миколаївна,Заступник начальника Управління - начальник відділу Управління експертного забезпечення правосуддя,Міністерство юстиції,Загальнодержавний регіон,2013,158194,412351,144824,25736,97,0,0,0,0,0,13273,0,0,0,0,0,50,50,0,0,0,0,0,1,0,0,;;,"BMW,520;;",;;,1995;;
10,1875,Костенко Інна Володимирівна,Суддя,Загальний апеляційний суд,Київська область,2013,240693,281911,228076,0,0,0,0,0,0,0,12617,0,0,0,0,0,38.6,80.2,0,73.6,14884,100,1,0,0,0,"Peugeot,309;;",;;,1989;;,;;
11,1887,Михайловський Віктор Іванович,Суддя,Загальний апеляційний суд,Житомирська область,2013,247159,37126,234542,32579,0,0,0,0,0,0,12617,4547,0,0,0,0,72.6,119.7,110.4,0,2300.06,0,0,0,0,0,;;,;;,;;,;;
12,1907,Колеснікова Ірина Сергіївна,Суддя,Адміністративний місцевий суд,м. Київ,2013,172873.33,1264171,160962.19,608271,0,0,0,0,441.14,0,11470,0,0,0,0,0,71.7,0,0,0,0,0,0,1,0,0,;;,"Mercedes-Benz,GL550;;",;;,2010;;
13,1919,Алєксєєнко Світлана Володимирівна,Начальник Борівського районного управління юстиції ,Міністерство юстиції,Загальнодержавний регіон,2013,47999,20411,44292,20411,0,0,0,0,0,0,3386,0,0,0,0,6777,10.4,31.2,0,0,0,0,0,0,0,0,;;,;;,;;,;;
14,1969,Сторожук Ганна Миколаївна,"Заступник начальника відділу з питань діяльності місцевих органів виконавчої влади Управління конституційного та адміністративного законодавства Департаменту конституційного, адміністративного та соціального законодавства Міністерства юстиції України",Міністерство юстиції,Загальнодержавний регіон,2013,99640,0,90249,0,0,0,0,0,0,0,9391,0,0,0,0,0,28.3,0,117.4,0,1500,0,0,0,0,0,;;,;;,;;,;;
15,1988,Шеметенко Людмила Петрівна,Суддя,Апеляційний адміністративний суд,Одеська область,2013,235487,0,235487,0,0,0,0,0,0,0,0,0,0,0,10390,0,0,0,0,0,0,0,0,0,0,0,;;,;;,;;,;;
16,1990,Леонтович Андрій Миколайович,Суддя,Адміністративний місцевий суд,м. Київ,2013,200994,34797,167770,32503,0,0,0,0,21754,0,11470,2294,0,0,0,0,17.15,17.15,0,0,0,0,3,0,0,0,"ВАЗ,2105;Skoda,Octavia;Toyota,Camry",;;,1988;1998;2008,;;
17,2013,Циркун Катерина Юріївна,Спеціаліст I категорії відділу координації виконання рішень Європейського суду з прав людини Секретаріату Урядового уповноваженого у справах Європейського суду з прав людини,Міністерство юстиції,Загальнодержавний регіон,2013,6000,296772,6000,296772,0,0,0,0,0,0,0,0,0,0,0,0,146.8,187.9,0,0,0,0,1,1,0,0,"Mercedes-Benz,ML 350;;","BMW,X5;;",2011;;,2008;;
18,2018,Каралюс Володимир Маріянович,Суддя,Апеляційний адміністративний суд,Львівська область,2013,240144.46,70575,227527.46,65513,0,0,0,0,0,0,12617,5062,0,0,0,0,0,0,0,175,0,1600,1,1,0,0,"Skoda,Octavia;;","Honda,CR-V;;",2008;;,2007;;
19,2044,Шевченко Василь Олександрович,Начальник Щорського районного управління юстиції Чернігівської області,Міністерство юстиції,Чернігівська область,2013,91930,58154,36429,58154,0,0,0,0,0,0,0,0,0,0,0,6200,0,0,163,0,2230,0,1,0,0,0,"ВАЗ,2121;;",;;,1987;;,;;
20,54,Серебрякова Тетяна Валеріївна,Суддя,Загальний апеляційний суд,Миколаївська область,2013,210481.41,40669.52,210457.44,40669.52,0,0,0,0,0,0,0,0,0,0,0,0,69.1,66.2,0,0,0,0,0,0,0,0,;;,;;,;;,;;
21,59,Бенедисюк Олександр Олександрович,Начальник Ратнівського районного управління юстиції Волинської області,Міністерство юстиції,Волинська область,2013,69499,129348,46458,65975,0,0,0,0,0,0,0,13373,0,0,0,186,0,0,121,0,4700,1200,0,0,1,1,;;,;;,;;,;;
22,73,Борисенко Сергій Петрович,"Головний спеціаліст відділу з питань підприємництва та приватизації Управління цивільного законодавства та підприємницької діяльності Департаменту цивільного, фінансового законодавства та законодавства з питань земельних відносин",Міністерство юстиції,м. Київ,2013,79580,0,79580,0,0,0,0,0,0,0,0,0,0,0,0,0,17.39,0,0,0,3020,0,2,0,0,0,"Hyundai,Accent;Volkswagen,Transporter;",;;,2009;1987;,;;
23,78,Горбатенко Вадим Нестерович,Заступник начальника відділу адміністрування та безпеки інформаційних систем ДАІ ЦБДР та АС (підпорядкований ДДАІ) при МВС України,Міністерство внутрішніх справ,Загальнодержавний регіон,2013,0,0,71599.39,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0,1200,0,1,0,0,;;,"Toyota,RAV4;;",;;,2007;;
24,92,Кагляк Ярослава Олексіївна,"Начальник відділу з питань діяльності місцевих органів виконавчої влади Управління конституційного та адміністративного законодавства Департаменту конституційного, адміністративного та соціального законодавства",Міністерство юстиції,Загальнодержавний регіон,2013,126703,116510,114840,114410,146,0,0,0,0,2100,11717,0,0,0,0,39550,18.5,37,0,47,0,1631.5,1,0,0,0,"Dacia,Logan;;",;;,2007;;,;;
