num,name,id,bank_deps,bank_deps_family,position,flat_area,flat_area_family,house_area,house_area_family,income_salary,income_salary_family,cars_info,cars_family_info,family_cars_sum,personal_cars_sum,all_cars_sum,all_cars_sum_uah,all_cars_sum_uah_mln,monthly_salary,monthly_salary_family,all_salary,all_deps,all_estate
1,Євграфова Єлизавета Павлівна,vulyk_8_129,0.0,0.0,суддя Вищого спеціалізованого суду України з розгляду цивільних і кримінальних справ,0.0,21.0,252.0,0.0,264100.0,30850.0,Toyota Land Cruiser Prado,BMW 735,0.0,42312.0,42312.0,1057800.0,1.06,22008.0,2571.0,24579.0,0.0,273.0
3,Євдокимов Сергій Володимирович,vulyk_60_93,0.0,0.0,начальник управління боротьби з незаконним обігом наркотиків ГУМВС України в Запорізький області,109.0,0.0,0.0,0.0,87562.0,0.0,,BMW X5,43511.0,0.0,43511.0,1087775.0,1.09,7297.0,0.0,7297.0,0.0,109.0
10,Євсіков Олексій Олександрович,vulyk_8_29,0.0,0.0,суддя Вищого Господарського суду України,22.0,267.0,0.0,0.0,243273.0,479813.0,Volkswagen Touareg;Volkswagen Touareg;,,0.0,81496.0,81496.0,2037400.0,2.04,20273.0,39984.0,60257.0,0.0,289.0
15,Єгоров Сергій Олександрович,vulyk_15_152,0.0,0.0,начальник відділу карного розшуку УМВС України на Одеській залізниці,125.0,80.0,0.0,0.0,70866.0,0.0,Toyota Corolla;Lexus RX330;Toyota Avensis,Lexus RX330;Toyota Corolla,24963.0,30808.0,55771.0,1394275.0,1.39,5906.0,0.0,5906.0,0.0,205.0
17,Єлфімов Олександр Васильович,vulyk_8_170,0.0,0.0,суддя Вищого спеціалізованого суду України з розгляду цивільних і кримінальних справ,22.0,22.0,0.0,0.0,267072.0,0.0,Toyota Land Cruiser Prado 150,,0.0,42312.0,42312.0,1057800.0,1.06,22256.0,0.0,22256.0,0.0,44.0
18,Єльцов Віктор Олександрович,vulyk_35_40,0.0,0.0,суддя Апеляційного суду Черкаської області,26.0,52.0,0.0,0.0,244959.0,35869.14,ВАЗ 21013;Opel Vectra;,,0.0,53065.0,53065.0,1326625.0,1.33,20413.0,2989.0,23402.0,0.0,78.0
22,Ємець Анатолій Анатолійович,vulyk_56_188,0.0,0.0,суддя Верховного Суду України,47.0,0.0,0.0,468.0,315707.0,23708.0,Volkswagen Touareg,Kia Sportage,19688.0,38926.0,58614.0,1465350.0,1.47,26309.0,1976.0,28285.0,0.0,515.0
28,Єремеєв Ігор Миронович,chesno_2334,0.0,3173000.0,Депутат 7-го скликання,323.0,259.0,0.0,0.0,168389.0,104467.0,Mercedes-Benz S500L 5461 куб. см;Land Rover Range Rover 5.0 S/C 4999 куб. cм;Mercedes-Benz S500 4663 куб. см,Porsche Cayenne Turbo,55139.0,220997.0,276136.0,6903400.0,6.9,14032.0,8706.0,22738.0,3173000.0,582.0
33,Єрмоленко Дмитро Дмитрович,vulyk_2_219,0.0,0.0,заступник прокурора овідіопольського району Одеської області,61.0,32.0,0.0,0.0,114868.0,0.0,,BMW X5;Infiniti FX35;,87716.0,0.0,87716.0,2192900.0,2.19,9572.0,0.0,9572.0,0.0,93.0
38,Єфремов Сергій Миколайович,vulyk_13_13,0.0,0.0,заступник начальника широківського районного управління ГУМВС України – начальник МГБ,140.0,179.0,0.0,0.0,78672.77,24085.69,Honda Accord;SsangYong Korando;ГАЗ 3302 Газель;,Honda Accord,20650.0,37186.0,57836.0,1445900.0,1.45,6556.0,2007.0,8563.0,0.0,319.0
39,Єфтемій Станіслав Миколайович,vulyk_33_169,0.0,0.0,голова герцаївського районного суду Чернівецької області,0.0,0.0,285.0,0.0,222523.0,46456.0,Mercedes-Benz E 220,Peugeot Partner;Mercedes-Benz E 220,25722.0,20208.0,45930.0,1148250.0,1.15,18544.0,3871.0,22415.0,0.0,285.0
51,Іваненко Сергій Анатолійович,vulyk_26_81,0.0,2584544.0,суддя полтавського окружного адміністративного суду,0.0,0.0,0.0,239.0,0.0,6395.0,BMW 523i;Daihatsu Terios;,BMW 523i,22285.0,34842.0,57127.0,1428175.0,1.43,0.0,533.0,533.0,2584544.0,239.0
53,Іваненко Юлія Геннадіївна,vulyk_8_134,0.0,0.0,суддя Вищого спеціалізованого суду України з розгляду цивільних і кримінальних справ,69.0,69.0,0.0,0.0,264628.28,0.0,BMW 4281,,0.0,45158.0,45158.0,1128950.0,1.13,22052.0,0.0,22052.0,0.0,138.0
60,Іванов Іван Іванович,vulyk_19_6,0.0,0.0,заступник начальника київської міської митниці,64.0,0.0,0.0,413.0,26924.1,0.0,,Lexus RX 350,41017.0,0.0,41017.0,1025425.0,1.03,2244.0,0.0,2244.0,0.0,477.0
63,Іванов Дмитро Іванович,vulyk_14_97,0.0,0.0,заступник начальника ГУ ДФС в Одеській області,0.0,73.0,0.0,347.0,41588.0,21836.0,Mercedes-Benz GL 550,Lexus LX 470;Mercedes-Benz S 550,52778.0,38920.0,91698.0,2292450.0,2.29,3466.0,1820.0,5286.0,0.0,420.0
