num,name,id,office,region,income,income_family,bank_deps,bank_deps_family,position,flat_area,flat_area_family,house_area,house_area_family,income_salary,income_salary_family,cars_info,cars_family_info,family_cars_sum,personal_cars_sum,all_cars_sum,all_income,family_cars_sum_uah,personal_cars_sum_uah,all_cars_sum_uah,all_cars_sum_uah_mln,monthly_salary,monthly_salary_family,all_salary,all_deps,all_estate
1,Євграфова Єлизавета Павлівна,vulyk_8_129,Вищий спецiалiзований суд України з розгляду цивiльних i кримiнальних справ,Загальнодержавний регіон,1702888.0,30850.0,0.0,0.0,суддя Вищого спеціалізованого суду України з розгляду цивільних і кримінальних справ,0.0,21.0,252.0,0.0,264100.0,30850.0,Toyota Land Cruiser Prado,BMW 735,0.0,42312.0,42312.0,1733738.0,0.0,42.0,1057800.0,1.06,22008.0,2571.0,24579.0,0.0,273.0
3,Євдокимов Сергій Володимирович,vulyk_60_93,Міністерство внутрішніх справ,Запорізька область,87562.0,0.0,0.0,0.0,начальник управління боротьби з незаконним обігом наркотиків ГУМВС України в Запорізький області,109.0,0.0,0.0,0.0,87562.0,0.0,,BMW X5,43511.0,0.0,43511.0,87562.0,1088.0,0.0,1087775.0,1.09,7297.0,0.0,7297.0,0.0,109.0
10,Євсіков Олексій Олександрович,vulyk_8_29,Вищий господарський суд,Загальнодержавний регіон,5451881.0,799009.0,0.0,0.0,суддя Вищого господарського суду України,22.0,267.0,0.0,0.0,243273.0,479813.0,Volkswagen Touareg;Volkswagen Touareg;,,0.0,81496.0,81496.0,6250890.0,0.0,81.0,2037400.0,2.04,20273.0,39984.0,60257.0,0.0,289.0
15,Єгоров Сергій Олександрович,vulyk_15_152,Міністерство внутрішніх справ,Одеська область,72166.0,0.0,0.0,0.0,начальник відділу карного розшуку УМВС України на Одеській залізниці,125.0,80.0,0.0,0.0,70866.0,0.0,Toyota Corolla;Lexus RX330;Toyota Avensis,Lexus RX330;Toyota Corolla,24963.0,30808.0,55771.0,72166.0,624.0,31.0,1394275.0,1.39,5906.0,0.0,5906.0,0.0,205.0
17,Єлфімов Олександр Васильович,vulyk_8_170,Вищий спецiалiзований суд України з розгляду цивiльних i кримiнальних справ,Загальнодержавний регіон,493840.0,0.0,0.0,0.0,суддя Вищого спеціалізованого суду України з розгляду цивільних і кримінальних справ,22.0,22.0,0.0,0.0,267072.0,0.0,Toyota Land Cruiser Prado 150,,0.0,42312.0,42312.0,493840.0,0.0,42.0,1057800.0,1.06,22256.0,0.0,22256.0,0.0,44.0
21,Ємець Анатолій Анатолійович,vulyk_56_188,Верховний суд,Загальнодержавний регіон,331541.0,23708.0,0.0,0.0,суддя Верховного Суду України,47.0,0.0,0.0,468.0,315707.0,23708.0,Volkswagen Touareg,Kia Sportage,19688.0,38926.0,58614.0,355249.0,492.0,39.0,1465350.0,1.47,26309.0,1976.0,28285.0,0.0,515.0
31,Єрмоленко Дмитро Дмитрович,vulyk_2_219,Прокуратура,Одеська область,639868.0,1007964.0,0.0,0.0,заступник прокурора Овідіопольського району Одеської області,61.0,32.0,0.0,0.0,114868.0,0.0,,BMW X5;Infiniti FX35;,87716.0,0.0,87716.0,1647832.0,2193.0,0.0,2192900.0,2.19,9572.0,0.0,9572.0,0.0,93.0
36,Єфремов Сергій Миколайович,vulyk_13_13,Міністерство внутрішніх справ,Дніпропетровська область,80949.91,25409.25,0.0,0.0,заступник начальника Широківського районного управління ГУМВС України – начальник МГБ,140.0,179.0,0.0,0.0,78672.77,24085.69,Honda Accord;SsangYong Korando;ГАЗ 3302 Газель;,Honda Accord,20650.0,37186.0,57836.0,106359.16,516.0,37.0,1445900.0,1.45,6556.0,2007.0,8563.0,0.0,319.0
37,Єфтемій Станіслав Миколайович,vulyk_33_169,Загальний місцевий суд,Чернівецька область,234703.0,48669.0,0.0,0.0,голова Герцаївського районного суду Чернівецької області,0.0,0.0,285.0,0.0,222523.0,46456.0,Mercedes-Benz E 220,Peugeot Partner;Mercedes-Benz E 220,25722.0,20208.0,45930.0,283372.0,643.0,20.0,1148250.0,1.15,18544.0,3871.0,22415.0,0.0,285.0
48,Іваненко Сергій Анатолійович,vulyk_26_81,Адміністративний місцевий суд,Полтавська область,17051.0,18155.0,0.0,2584544.0,суддя Полтавського окружного адміністративного суду,0.0,0.0,0.0,239.0,0.0,6395.0,BMW 523i;Daihatsu Terios;,BMW 523i,22285.0,34842.0,57127.0,35206.0,557.0,35.0,1428175.0,1.43,0.0,533.0,533.0,2584544.0,239.0
